province,watershed,site_name,monitor_time,water_quality_class,water_temperature,ph_value,dissolved_oxygen,conductivity,turbidity,permanganate_index,ammonia_nitrogen,total_phosphorus,total_nitrogen,chlorophyll_a,algae_density,site_status,longitude,latitude,formatted_address,match_level
湖北省,长江流域,隔河岩水库坝上,2023-01-01 02:53:00,Ⅰ,13.4,7.81,8.05,263.6,1.2,0.66,0.025,0.007,1.96,0.005,847732,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-01 02:53:00,Ⅱ,7.5,8.15,10.72,339,4.4,3.9,0.025,0.014,1.19,0.002,2276956,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-01 06:54:00,Ⅰ,13.2,7.82,8.16,264.1,1.2,0.44,0.025,0.006,2,0.005,857101,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-01 06:54:00,Ⅱ,7.5,8.13,10.6,338.4,4.2,3.97,0.025,0.013,0.95,0.001,2070496,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-01 10:54:00,Ⅰ,13.1,7.82,8.16,264,1.2,0.73,0.025,0.01,2.01,0.006,855133,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-01 10:54:00,Ⅲ,7,8.1,10.64,337.7,5.6,3.97,0.025,0.028,1.05,0.001,1789644,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-01 14:55:00,Ⅱ,13.1,7.72,8.32,251.9,4.3,0.57,0.025,0.015,1.92,0.008,888085,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-01 14:55:00,Ⅲ,7.2,8.13,10.74,338.5,4.8,3.94,0.025,0.031,1.2,0.001,1849865,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-01 18:56:00,Ⅱ,13.2,7.83,8.36,249.3,1.2,0.82,0.025,0.018,2,0.008,855709,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-01 18:56:00,Ⅲ,7.3,8.17,11.04,339.5,4.7,4.07,0.025,0.031,1.21,0.002,1836230,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-01 22:56:00,Ⅱ,13.2,7.81,8.63,249.4,1.2,0.44,0.025,0.01,1.99,0.007,864634,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-01 22:56:00,Ⅲ,7.6,8.16,10.7,339.8,3.9,3.95,0.025,0.03,1.2,0.002,2060617,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-02 02:57:00,Ⅱ,13.2,7.81,8.27,249.1,1.2,0.44,0.025,0.01,1.99,0.006,848171,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-02 02:57:00,Ⅲ,7.7,8.12,10.39,340.1,3.8,3.86,0.025,0.03,1.2,0.003,2304209,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-02 06:58:00,Ⅲ,7.6,8.12,10.37,339.6,3.8,4.01,0.025,0.029,1.07,0.003,2189070,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-02 06:58:00,Ⅰ,13.1,7.81,8.16,249.1,1.2,0.69,0.025,0.008,2,0.006,850418,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-02 10:58:00,Ⅱ,13.1,7.82,8.24,248.8,1.2,0.45,0.025,0.01,1.98,0.006,854819,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-02 10:58:00,Ⅲ,7.2,8.07,10.47,339,4.7,4.19,0.025,0.029,1.1,0.001,1720266,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-02 14:59:00,Ⅰ,13.8,7.85,8.44,247.8,1.3,0.42,0.025,0.008,1.98,0.007,840233,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-02 14:59:00,Ⅲ,7.5,8.13,10.6,340.4,3.9,3.89,0.025,0.029,1.19,0.001,1875728,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-02 19:00:00,Ⅰ,13.8,7.86,8.48,247.1,1.2,0.59,0.025,0.008,1.96,0.007,843018,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-02 19:00:00,Ⅲ,7.8,8.17,10.93,343.4,3.8,4.05,0.025,0.028,1.2,0.002,1774581,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-02 23:01:00,Ⅰ,13.2,7.82,8.19,248.1,1.1,0.42,0.025,0.007,2.03,0.006,853667,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-02 23:01:00,Ⅲ,7.7,8.16,10.81,341.5,3.9,4.05,0.025,0.028,1.2,0.002,2257578,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-03 03:01:00,Ⅰ,13.2,7.82,8.29,248.7,1.1,0.42,0.025,0.007,2.03,0.006,851877,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-03 03:01:00,Ⅲ,7.8,8.13,10.5,341.4,3.8,3.94,0.025,0.029,1.18,0.003,2256463,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-03 07:02:00,Ⅰ,13.1,7.81,8.15,248.6,1.1,0.68,0.025,0.007,1.98,0.006,851661,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-03 07:02:00,Ⅲ,7.8,8.11,10.32,341.5,3.7,3.97,0.025,0.028,1.12,0.003,1860968,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-03 09:15:00,Ⅰ,13,7.82,8.26,249.1,1.3,0.68,0.025,0.007,1.98,0.005,847715,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-03 09:15:00,Ⅲ,7.3,8.08,10.47,339.7,4.4,4.18,0.025,0.027,1.11,0.002,1837146,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-03 16:13:00,Ⅲ,7.9,8.16,10.9,345,3.7,3.84,0.025,0.026,1.25,0.001,1757848,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-03 16:13:00,Ⅰ,13.8,7.85,8.44,247.8,1.2,0.66,0.025,0.007,2.02,0.006,838913,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-03 20:13:00,Ⅰ,13.9,7.86,8.5,246.4,1.2,0.64,0.025,0.007,1.99,0.006,843782,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-03 20:13:00,Ⅲ,8.5,8.21,11.24,352.1,3.6,3.99,0.025,0.027,0.94,0.001,1532089,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-04 00:14:00,Ⅰ,13.4,7.82,8.18,248.1,1.1,0.54,0.025,0.007,2.01,0.008,851628,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-04 00:14:00,Ⅲ,8.5,8.22,11.18,348.2,3.4,4.05,0.025,0.029,1.16,0.002,2283391,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-04 04:15:00,Ⅰ,13,7.81,8.14,249.1,1.2,0.54,0.025,0.007,2.01,0.006,858457,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-04 04:15:00,Ⅲ,7.7,8.16,11.25,344.6,3.7,3.92,0.025,0.028,1.16,0.002,1777905,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,隔河岩水库坝上,2023-01-04 08:15:00,Ⅰ,12.7,7.81,8.1,249.8,1.1,0.36,0.025,0.006,2,0.006,859469,正常,114.304569,30.593354,湖北省武汉市,市
湖北省,长江流域,咸宁湖心,2023-01-04 08:15:00,Ⅲ,7.6,8.15,11.13,343.3,3.8,3.97,0.025,0.029,1.1,0.002,1829971,正常,114.304569,30.593354,湖北省武汉市,市
