province,watershed,site_name,monitor_time,water_quality_class,water_temperature,ph_value,dissolved_oxygen,conductivity,turbidity,permanganate_index,ammonia_nitrogen,total_phosphorus,total_nitrogen,chlorophyll_a,algae_density,site_status,longitude,latitude,formatted_address,match_level
湖北省,长江流域,江夏湖心,2023-01-01 02:53:00,Ⅲ,7.6,7.99,9.79,314.7,6.1,3.99,0.025,0.026,0.79,0.004,1585372,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-01 06:54:00,Ⅲ,7.4,8.07,9.78,314.4,5.7,3.66,0.025,0.025,0.78,0.005,944155,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-01 10:54:00,Ⅲ,7.3,8.05,9.77,314.5,5.4,4.62,0.03,0.027,0.89,0.004,1011197,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-01 14:55:00,Ⅲ,7.5,8.08,9.84,314.4,4.8,4.48,0.031,0.027,0.83,0.003,946082,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-01 18:56:00,Ⅲ,7.6,8.12,10.06,314.2,5.3,4.49,0.025,0.029,0.85,0.005,1219550,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-01 22:56:00,Ⅲ,7.9,8.05,9.88,314.5,4.7,4.24,0.026,0.029,0.8,0.006,2167083,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-02 02:57:00,Ⅲ,7.9,7.94,9.78,314.8,4.6,4.45,0.025,0.032,0.82,0.004,1760081,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-02 06:58:00,Ⅲ,7.9,7.96,9.55,314.9,4.6,4.41,0.025,0.034,0.79,0.007,1726186,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-02 10:58:00,Ⅲ,7.5,8.06,9.68,314.8,6.1,4.37,0.025,0.028,0.92,0.005,169132,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-02 14:59:00,Ⅲ,7.5,8.06,9.68,314.8,6.1,4.37,0.025,0.028,0.92,0.005,169132,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-02 19:00:00,Ⅲ,8.1,8.15,10.24,314.7,4.5,4.57,0.025,0.026,0.87,0.005,1024312,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-02 23:01:00,Ⅲ,8.2,8.07,9.96,314.8,4.5,4.51,0.025,0.03,0.83,0.011,1565898,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-03 03:01:00,Ⅲ,8,8.06,9.85,314.7,5,4.51,0.025,0.028,0.8,0.005,2345996,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-03 07:02:00,Ⅲ,8,8.01,9.6,314.8,5.3,4.36,0.025,0.029,0.82,0.006,1257249,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-03 09:15:00,Ⅲ,7.5,8.05,9.7,314.6,7,4.65,0.025,0.026,0.89,0.005,1322117,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-03 16:13:00,Ⅲ,8,8.08,9.94,314,5.7,4.59,0.025,0.025,0.94,0.003,513044,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-03 20:13:00,Ⅲ,9.2,8.11,10.13,314,5.5,4.78,0.025,0.022,0.86,0.003,--,维护,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-04 00:14:00,Ⅲ,8.9,8.08,10.09,313.8,3.9,4.5,0.025,0.024,0.82,0.004,794938,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
湖北省,长江流域,江夏湖心,2023-01-04 04:15:00,Ⅲ,8,8.1,10.32,313.2,5.1,4.5,0.025,0.028,0.8,0.005,102805,正常,114.320884,30.37558,湖北省武汉市江夏区,区县
