province,watershed,site_name,monitor_time,water_quality_class,water_temperature,ph_value,dissolved_oxygen,conductivity,turbidity,permanganate_index,ammonia_nitrogen,total_phosphorus,total_nitrogen,chlorophyll_a,algae_density,site_status,longitude,latitude,formatted_address,match_level
湖北省,长江流域,西梁子湖湖北,2023-01-01 02:53:00,Ⅲ,7.1,7.63,11.08,185.5,31.5,2.84,0.025,0.027,1.18,0.004,4066491,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-01 02:53:00,Ⅲ,7.3,7.2,10.78,192.7,29.3,3.14,0.025,0.032,0.79,0.003,1923603,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-01 06:54:00,Ⅲ,7,7.63,11.1,185.2,32.6,2.63,0.025,0.03,1.16,0.005,4205919,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-01 06:54:00,Ⅲ,7.3,7.21,10.71,192.7,29.8,3.17,0.025,0.031,1.1,0.004,1965909,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-01 10:54:00,Ⅱ,7.1,7.62,11.03,185.5,32,2.83,0.025,0.024,1.1,0.004,3922579,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-01 10:54:00,Ⅲ,7.4,7.19,10.64,192.8,28.4,3.35,0.025,0.029,1.19,0.004,1760961,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-01 14:55:00,Ⅲ,7.3,7.64,11.14,185,31.9,2.7,0.025,0.027,1.12,0.003,3531876,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-01 14:55:00,Ⅲ,7.6,7.22,10.79,192.7,28.6,3.21,0.025,0.03,0.93,0.003,2041310,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-01 18:56:00,Ⅲ,7.4,7.67,11.23,184.8,32.1,2.81,0.025,0.026,1.1,0.003,3808379,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-01 18:56:00,Ⅲ,7.7,7.25,11.01,192.1,29.1,3.3,0.025,0.031,0.87,0.004,1410376,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-01 22:56:00,Ⅲ,7.3,7.64,11.08,185.2,32.8,2.68,0.025,0.028,1.14,0.004,4317534,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-01 22:56:00,Ⅲ,7.5,7.21,10.78,192.5,29.1,3.21,0.025,0.03,0.88,0.003,2004592,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-02 02:57:00,Ⅲ,7.5,7.19,10.69,192.6,28.5,3.22,0.025,0.031,0.88,0.003,2419382,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-02 02:57:00,Ⅲ,7.2,7.62,10.99,185.4,31.9,2.68,0.025,0.028,1.12,0.003,4055030,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-02 06:58:00,Ⅲ,7.2,7.61,10.94,185.3,31.5,2.69,0.025,0.028,1.15,0.004,4574973,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-02 06:58:00,Ⅲ,7.5,7.17,10.58,192.5,29,3.23,0.025,0.03,1.08,0.003,2421503,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-02 10:58:00,Ⅱ,7.2,7.6,10.9,185.3,30.3,2.89,0.025,0.024,1.11,0.004,3650296,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-02 10:58:00,Ⅲ,7.5,7.17,10.53,192.3,29,3.33,0.025,0.028,1.08,0.006,2194942,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-02 14:59:00,Ⅲ,7.4,7.62,11.01,185,30.7,2.71,0.025,0.027,1.07,0.003,3449938,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-02 14:59:00,Ⅲ,7.7,7.21,10.67,192.3,29.5,3.27,0.025,0.031,0.86,0.003,1921824,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-02 19:00:00,Ⅱ,7.5,7.64,11.28,184.7,31.9,2.82,0.025,0.025,1.07,0.004,3712567,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-02 19:00:00,Ⅲ,7.9,7.24,10.96,191.4,30.7,3.41,0.025,0.032,0.96,0.004,2145239,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖北,2023-01-02 23:01:00,Ⅲ,7.5,7.63,10.98,185.4,29.8,2.77,0.025,0.026,1.06,0.004,3667453,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
湖北省,长江流域,西梁子湖湖南,2023-01-02 23:01:00,Ⅲ,7.7,7.19,10.68,192.3,29.1,3.24,0.025,0.033,0.95,0.003,1865770,正常,114.521034,30.241482,湖北省武汉市江夏区梁子湖,住宅区
