province,watershed,site_name,monitor_time,water_quality_class,water_temperature,ph_value,dissolved_oxygen,conductivity,turbidity,permanganate_index,ammonia_nitrogen,total_phosphorus,total_nitrogen,chlorophyll_a,algae_density,site_status,longitude,latitude,formatted_address,match_level
湖北省,长江流域,漳河水库库心,2023-01-01 02:53:00,Ⅰ,9.9,7.96,9.59,330.6,7.8,1.97,0.032,0.005,0.45,0.001,9546864,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-01 06:54:00,Ⅰ,9.9,7.96,9.64,330.8,7.8,1.81,0.037,0.005,0.36,0.001,8301626,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-01 10:54:00,Ⅰ,9.9,7.95,9.61,330.8,7.7,1.67,0.038,0.006,0.44,0.001,9807085,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-01 14:55:00,Ⅲ,9.9,7.96,9.67,330.2,7.6,4.29,0.03,0.006,0.43,0.001,10361320,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-01 18:56:00,Ⅲ,10.6,7.99,9.61,328.3,7.6,4.29,0.029,0.006,0.48,0.001,12162820,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-02 06:58:00,Ⅰ,9.9,7.96,9.64,307,7.4,1.21,0.031,0.006,0.41,0.001,11661350,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-02 10:58:00,Ⅰ,10,7.96,9.62,306.6,7.4,1.33,0.027,0.006,0.43,0.001,11898670,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-02 14:59:00,Ⅰ,10,7.98,9.72,306.3,7.6,1.47,0.032,0.005,0.41,0.001,12092920,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-02 19:00:00,Ⅰ,10.2,7.99,9.82,306.5,7.4,1.47,0.027,0.005,0.46,0.001,12061270,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-02 23:01:00,Ⅰ,10,7.98,9.74,306.7,7.5,1.73,0.034,0.006,0.4,0.001,11714550,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
湖北省,长江流域,漳河水库库心,2023-01-03 03:01:00,Ⅰ,9.9,7.98,9.72,306.9,7.4,1.73,0.034,0.006,0.4,0.001,11787880,正常,114.54764,30.491875,湖北省武汉市江夏区水库村,村庄
