province,watershed,site_name,monitor_time,water_quality_class,water_temperature,ph_value,dissolved_oxygen,conductivity,turbidity,permanganate_index,ammonia_nitrogen,total_phosphorus,total_nitrogen,chlorophyll_a,algae_density,site_status,longitude,latitude,formatted_address,match_level
湖北省,长江流域,牛山湖湖心,2023-01-01 02:53:00,Ⅱ,6.9,7.69,10.34,197.3,7,2.57,0.025,0.024,0.73,0.006,971763,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-01 06:54:00,Ⅱ,6.8,7.68,10.31,197.5,7.1,2.76,0.025,0.024,0.66,0.006,943458,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-01 10:54:00,Ⅱ,6.8,7.67,10.18,197.7,6.9,2.7,0.025,0.022,0.58,0.005,749585,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-01 14:55:00,Ⅱ,7,7.69,10.28,197.7,6.5,2.53,0.025,0.022,0.7,0.004,585105,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-01 18:56:00,Ⅱ,6.7,7.7,10.64,197.4,7,2.67,0.025,0.025,0.67,0.007,838377,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-01 22:56:00,Ⅱ,7,7.7,10.35,197.9,7.4,2.47,0.025,0.024,0.72,0.007,1171731,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-02 02:57:00,Ⅱ,7,7.68,10.24,198,7.2,2.58,0.025,0.025,0.74,0.01,1115301,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-02 06:58:00,Ⅱ,7,7.67,10.18,197.8,7.6,2.49,0.025,0.023,0.64,0.01,1393617,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-02 10:58:00,Ⅱ,7,7.66,10.16,197.9,8,2.52,0.025,0.023,0.59,0.008,1002792,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-02 14:59:00,Ⅱ,7.2,7.68,10.24,197.8,7.3,2.58,0.025,0.024,0.7,0.004,701247,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-02 19:00:00,Ⅱ,7.4,7.65,10.5,197.3,7.6,2.64,0.025,0.024,0.6,0.005,795959,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-02 23:01:00,Ⅱ,7.2,7.7,10.32,197.7,8.3,2.67,0.025,0.024,0.71,0.008,2242995,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-03 03:01:00,Ⅱ,7.2,7.67,10.19,197.7,8.3,2.86,0.025,0.025,0.72,0.009,1092667,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-03 07:02:00,Ⅱ,7.1,7.66,10.1,197.7,8.5,2.55,0.025,0.023,0.63,0.007,1231211,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-03 09:15:00,Ⅱ,7.1,7.65,10.02,197.8,8.1,2.62,0.025,0.024,0.63,0.007,978146,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-03 16:13:00,Ⅱ,7.8,7.65,10.11,197.7,7.4,2.64,0.025,0.024,0.58,0.002,717617,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-03 20:13:00,Ⅱ,8.8,7.69,10.36,198.3,7.2,2.69,0.025,0.021,0.48,0.002,617071,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-04 00:14:00,Ⅱ,8,7.71,10.37,198.3,7,2.57,0.025,0.022,0.65,0.007,974388,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-04 04:15:00,Ⅱ,7,7.62,10.24,196.5,8.2,2.58,0.025,0.024,0.68,0.007,843087,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-04 08:15:00,Ⅱ,6.8,7.61,10.24,196.6,8.1,2.53,0.025,0.023,0.59,0.006,840920,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-04 12:16:00,Ⅱ,6.6,7.6,10.26,196.6,7.4,2.58,0.025,0.023,0.56,0.006,782675,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-04 16:17:00,Ⅱ,7.5,7.67,10.23,196.1,7,2.47,0.025,0.02,0.5,0.003,792764,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
湖北省,长江流域,牛山湖湖心,2023-01-04 20:18:00,Ⅱ,9,7.69,10.35,195.9,6.1,2.64,0.025,0.021,0.38,0.002,503946,正常,114.55891,30.310515,湖北省武汉市江夏区牛山湖,住宅区
